VendorNumber,InvoiceDate,PODate,PayDate,Freight,Approval,IDInvoicePurchases,IDPurchases
5455,2016-01-08,2015-12-23,2016-02-13,14.36,,42,42
4425,2016-01-06,2015-12-23,2016-02-06,11.38,,43,43
4425,2016-01-05,2015-12-23,2016-02-13,4613.45,,44,44
5992,2016-01-10,2015-12-21,2016-02-05,42.4,,45,45
6213,2016-01-09,2015-12-22,2016-02-04,177.5,,46,46
8112,2016-01-08,2015-12-24,2016-02-06,938.79,,47,47
6215,2016-01-09,2015-12-23,2016-02-10,9.02,,48,48
6355,2016-01-05,2015-12-23,2016-02-14,13.08,,49,49
6359,2016-01-10,2015-12-21,2016-02-13,31.53,,50,50
6785,2016-01-08,2015-12-20,2016-02-14,242.73,,51,51
10754,2016-01-10,2015-12-20,2016-02-10,633.9,,52,52
17035,2016-01-05,2015-12-24,2016-02-11,2703.94,,53,53
9206,2016-01-06,2015-12-20,2016-02-07,34.73,,54,54
7153,2016-01-04,2015-12-21,2016-02-05,338.2,,55,55
90027,2016-01-11,2015-12-20,2016-02-09,9.27,,56,56
7154,2016-01-05,2015-12-25,2016-02-14,12.08,,57,57
7245,2016-01-08,2015-12-22,2016-02-13,943.77,,58,58
7255,2016-01-11,2015-12-25,2016-02-12,6.09,,59,59
7239,2016-01-08,2015-12-23,2016-02-18,348.07,,60,60
10050,2016-01-06,2015-12-20,2016-02-20,14.08,,61,61
8004,2016-01-10,2015-12-25,2016-02-20,1206.72,,62,62
660,2016-01-10,2015-12-25,2016-02-10,317.76,,63,63
8150,2016-01-11,2015-12-24,2016-02-05,3.39,,64,64
98450,2016-01-08,2015-12-23,2016-02-17,17.21,,65,65
8320,2016-01-08,2015-12-23,2016-02-11,51.37,,66,66
3089,2016-01-06,2015-12-24,2016-02-04,133.83,,67,67
2000,2016-01-05,2015-12-24,2016-02-04,397.04,,68,68
8663,2016-01-11,2015-12-20,2016-02-13,0.93,,69,69
653,2016-01-08,2015-12-25,2016-02-13,303.7,,70,70
8673,2016-01-05,2015-12-21,2016-02-06,571.07,,71,71
8664,2016-01-12,2015-12-25,2016-02-04,349.02,,72,72
8735,2016-01-11,2015-12-21,2016-02-08,7.14,,73,73
90056,2016-01-06,2015-12-22,2016-02-05,5.04,,74,74
8920,2016-01-04,2015-12-20,2016-02-06,3.62,,75,75
28776,2016-01-08,2015-12-20,2016-02-11,10.59,,76,76
9819,2016-01-05,2015-12-22,2016-02-17,243.38,,77,77
8892,2016-01-09,2015-12-22,2016-02-09,403.44,,78,78
9165,2016-01-07,2015-12-25,2016-02-13,1683.03,,79,79
9751,2016-01-09,2015-12-25,2016-02-15,1.23,,80,80
90010,2016-01-04,2015-12-25,2016-02-06,9.41,,81,81
1587,2016-01-04,2015-12-24,2016-02-16,83.57,,82,82
90024,2016-01-12,2015-12-22,2016-02-21,44.36,,83,83
1601,2016-01-12,2015-12-24,2016-02-07,22.66,,84,84
9622,2016-01-08,2015-12-24,2016-02-13,4.76,,85,85
9625,2016-01-06,2015-12-23,2016-02-14,169.46,,86,86
3664,2016-01-11,2015-12-21,2016-02-14,617.13,,87,87
9815,2016-01-06,2015-12-24,2016-02-08,580.64,,88,88
90058,2016-01-09,2015-12-25,2016-02-12,21.04,,89,89
105,2016-01-17,2015-12-29,2016-02-22,2.19,,90,90
4466,2016-01-19,2015-12-27,2016-02-26,16.97,,91,91
287,2016-01-13,2016-01-01,2016-02-18,0.66,,92,92
388,2016-01-11,2015-12-30,2016-02-18,10.73,,93,93
480,2016-01-19,2016-01-01,2016-02-18,1864.05,Frank Delahunt,94,94
516,2016-01-14,2015-12-27,2016-02-21,204.93,,95,95
2396,2016-01-15,2015-12-27,2016-02-13,2.5,,96,96
1003,2016-01-15,2015-12-30,2016-02-22,0.57,,97,97
1128,2016-01-15,2015-12-27,2016-02-25,1494.51,Frank Delahunt,98,98
1189,2016-01-17,2015-12-28,2016-02-12,1.19,,99,99
1273,2016-01-16,2015-12-27,2016-02-16,9.08,,100,100
11567,2016-01-19,2015-12-31,2016-02-19,324.86,,101,101
90046,2016-01-17,2015-12-29,2016-02-14,8.36,,102,102
1485,2016-01-12,2015-12-29,2016-02-17,202.76,,103,103
2876,2016-01-11,2015-12-30,2016-02-13,0.28,,104,104
4380,2016-01-16,2015-12-31,2016-02-14,29.42,,105,105
1392,2016-01-12,2015-12-30,2016-02-11,1291.52,,106,106
90047,2016-01-17,2015-12-28,2016-02-17,10.11,,107,107
2242,2016-01-16,2015-12-30,2016-02-12,120.0,,108,108
1590,2016-01-12,2016-01-01,2016-02-22,163.57,,109,109
3960,2016-01-14,2015-12-31,2016-02-11,4581.38,Frank Delahunt,110,110
2555,2016-01-12,2015-12-29,2016-02-16,106.53,,111,111
2450,2016-01-15,2015-12-27,2016-02-28,5.32,,112,112
2496,2016-01-19,2016-01-01,2016-02-14,5.24,,113,113
17037,2016-01-17,2015-12-31,2016-02-11,1.32,,114,114
3252,2016-01-18,2015-12-29,2016-02-14,1194.9,,115,115
2561,2016-01-15,2015-12-29,2016-02-17,143.4,,116,116
1655,2016-01-12,2015-12-27,2016-02-21,18.39,,117,117
17031,2016-01-13,2015-12-29,2016-02-15,28.52,,118,118
90011,2016-01-17,2015-12-27,2016-02-19,3.34,,119,119
9744,2016-01-17,2016-01-01,2016-02-13,84.69,,120,120
90051,2016-01-17,2015-12-28,2016-02-27,7.67,,121,121
90052,2016-01-11,2016-01-01,2016-02-14,2.55,,122,122
3924,2016-01-18,2015-12-31,2016-02-15,243.26,,123,123
3950,2016-01-18,2015-12-31,2016-02-21,0.09,,124,124
90053,2016-01-13,2016-01-01,2016-02-21,2.5,,125,125
17032,2016-01-17,2016-01-01,2016-02-25,8.79,,126,126
12546,2016-01-16,2015-12-29,2016-02-15,2910.4,Frank Delahunt,127,127
4550,2016-01-11,2015-12-28,2016-02-20,8.99,,128,128
4692,2016-01-17,2015-12-27,2016-02-25,132.84,,129,129
90032,2016-01-16,2016-01-01,2016-02-24,21.34,,130,130
4848,2016-01-17,2015-12-30,2016-02-18,5.83,,131,131
4950,2016-01-16,2016-01-01,2016-02-21,18.78,,132,132
8352,2016-01-14,2015-12-28,2016-02-22,197.19,,133,133
9552,2016-01-12,2015-12-27,2016-02-23,1134.57,,134,134
10000,2016-01-13,2015-12-29,2016-02-20,145.55,,135,135
5455,2016-01-19,2015-12-31,2016-02-28,20.79,,136,136
4425,2016-01-11,2015-12-30,2016-02-14,6.72,,137,137
4425,2016-01-18,2015-12-31,2016-02-28,2336.93,Frank Delahunt,138,138
5992,2016-01-13,2015-12-31,2016-02-20,27.0,,139,139
6213,2016-01-18,2015-12-30,2016-02-19,138.2,,140,140
8112,2016-01-15,2015-12-31,2016-02-15,838.52,,141,141
6215,2016-01-13,2015-12-31,2016-02-20,13.11,,142,142
6355,2016-01-14,2015-12-29,2016-02-19,5.64,,143,143
6359,2016-01-14,2016-01-01,2016-02-13,19.61,,144,144
6785,2016-01-15,2015-12-28,2016-02-20,170.61,,145,145
10754,2016-01-15,2016-01-01,2016-02-16,739.55,,146,146
17035,2016-01-13,2015-12-30,2016-02-25,2477.78,Frank Delahunt,147,147
9206,2016-01-16,2015-12-29,2016-02-21,45.52,,148,148
7153,2016-01-14,2015-12-28,2016-02-16,324.39,,149,149
90027,2016-01-12,2015-12-31,2016-02-21,27.31,,150,150
7154,2016-01-19,2016-01-01,2016-02-17,13.49,,151,151
7240,2016-01-19,2015-12-28,2016-02-18,5.89,,152,152
7245,2016-01-11,2015-12-28,2016-02-12,1266.06,,153,153
7255,2016-01-18,2015-12-27,2016-02-16,6.6,,154,154
7239,2016-01-13,2015-12-28,2016-02-13,308.92,,155,155
10050,2016-01-19,2016-01-01,2016-02-22,8.66,,156,156
8004,2016-01-13,2015-12-30,2016-02-17,1181.7,Frank Delahunt,157,157
660,2016-01-18,2015-12-30,2016-02-26,346.61,,158,158
17033,2016-01-19,2016-01-01,2016-02-13,5.8,,159,159
8150,2016-01-13,2015-12-29,2016-02-26,1.24,,160,160
98450,2016-01-16,2016-01-01,2016-02-27,19.09,,161,161
8320,2016-01-19,2015-12-29,2016-02-21,43.93,,162,162
3089,2016-01-14,2016-01-01,2016-02-15,175.99,,163,163
28750,2016-01-18,2015-12-31,2016-02-25,3.95,,164,164
2000,2016-01-17,2016-01-01,2016-02-20,336.31,,165,165
8663,2016-01-11,2015-12-30,2016-02-19,1.04,,166,166
653,2016-01-18,2015-12-29,2016-02-19,156.29,,167,167
8673,2016-01-16,2016-01-01,2016-02-24,261.1,,168,168
12331,2016-01-11,2015-12-30,2016-02-12,2.86,,169,169
8664,2016-01-12,2015-12-30,2016-02-12,345.25,,170,170
8735,2016-01-12,2015-12-30,2016-02-12,9.98,,171,171
90056,2016-01-16,2015-12-30,2016-02-27,51.84,,172,172
8920,2016-01-18,2015-12-27,2016-02-20,4.89,,173,173
28776,2016-01-18,2015-12-28,2016-02-22,1.26,,174,174
90037,2016-01-16,2015-12-29,2016-02-13,0.79,,175,175
9819,2016-01-16,2015-12-31,2016-02-22,197.3,,176,176
8892,2016-01-19,2015-12-31,2016-02-16,228.3,,177,177
9260,2016-01-18,2015-12-30,2016-02-13,2.12,,178,178
9165,2016-01-16,2015-12-27,2016-02-26,1189.08,,179,179
9751,2016-01-17,2015-12-30,2016-02-20,1.47,,180,180
90010,2016-01-19,2015-12-30,2016-02-13,6.02,,181,181
1587,2016-01-11,2015-12-28,2016-02-27,75.86,,182,182
90024,2016-01-18,2015-12-30,2016-02-18,49.82,,183,183
1601,2016-01-16,2016-01-01,2016-02-15,29.09,,184,184
9622,2016-01-15,2015-12-31,2016-02-17,2.01,,185,185
9625,2016-01-11,2015-12-28,2016-02-15,51.45,,186,186
3664,2016-01-14,2015-12-28,2016-02-12,385.59,,187,187
9815,2016-01-18,2015-12-31,2016-02-23,518.68,,188,188
90058,2016-01-13,2015-12-31,2016-02-14,12.81,,189,189
4466,2016-01-18,2016-01-03,2016-02-18,1.99,,190,190
388,2016-01-25,2016-01-04,2016-02-23,7.1,,191,191
480,2016-01-22,2016-01-03,2016-02-26,832.36,,192,192
516,2016-01-21,2016-01-05,2016-02-20,140.58,,193,193
2396,2016-01-26,2016-01-05,2016-03-04,1.13,,194,194
1265,2016-01-24,2016-01-04,2016-02-24,0.43,,195,195
1128,2016-01-26,2016-01-06,2016-02-18,690.18,,196,196
1273,2016-01-26,2016-01-07,2016-03-05,8.49,,197,197
11567,2016-01-23,2016-01-07,2016-02-29,131.13,,198,198
90046,2016-01-23,2016-01-06,2016-02-21,1.2,,199,199
1485,2016-01-18,2016-01-03,2016-02-27,124.5,,200,200
4380,2016-01-19,2016-01-08,2016-02-20,22.0,,201,201
1650,2016-01-22,2016-01-07,2016-03-01,1.46,,202,202
1392,2016-01-21,2016-01-06,2016-02-25,900.16,,203,203
90047,2016-01-26,2016-01-05,2016-02-22,18.09,,204,204
2242,2016-01-22,2016-01-07,2016-02-22,136.15,,205,205
1590,2016-01-18,2016-01-04,2016-02-28,95.54,,206,206
3960,2016-01-19,2016-01-03,2016-02-23,2350.69,Frank Delahunt,207,207
2555,2016-01-25,2016-01-03,2016-03-06,48.41,,208,208
2450,2016-01-20,2016-01-07,2016-02-20,1.05,,209,209
2496,2016-01-19,2016-01-08,2016-02-20,8.47,,210,210
17037,2016-01-19,2016-01-07,2016-03-05,3.79,,211,211
3252,2016-01-22,2016-01-04,2016-02-27,698.97,,212,212
2561,2016-01-21,2016-01-06,2016-02-22,64.48,,213,213
1655,2016-01-18,2016-01-05,2016-03-04,9.01,,214,214
17031,2016-01-18,2016-01-07,2016-02-27,26.7,,215,215
90011,2016-01-18,2016-01-04,2016-02-28,0.86,,216,216
9744,2016-01-24,2016-01-07,2016-02-22,93.48,,217,217
3924,2016-01-20,2016-01-05,2016-02-18,168.7,,218,218
90053,2016-01-22,2016-01-04,2016-02-20,2.17,,219,219
17032,2016-01-20,2016-01-04,2016-03-06,6.18,,220,220
12546,2016-01-20,2016-01-04,2016-02-19,2027.87,Frank Delahunt,221,221
4550,2016-01-25,2016-01-06,2016-03-06,6.54,,222,222
4692,2016-01-20,2016-01-06,2016-03-02,233.26,,223,223
90032,2016-01-25,2016-01-03,2016-02-27,6.34,,224,224
4848,2016-01-19,2016-01-06,2016-03-05,4.78,,225,225
4950,2016-01-18,2016-01-08,2016-02-29,20.32,,226,226
8352,2016-01-22,2016-01-05,2016-03-03,142.39,,227,227
9552,2016-01-19,2016-01-05,2016-03-02,865.66,,228,228
10000,2016-01-18,2016-01-05,2016-02-18,66.81,,229,229
5455,2016-01-18,2016-01-03,2016-03-02,8.88,,230,230
4425,2016-01-23,2016-01-07,2016-02-29,4.64,,231,231
4425,2016-01-26,2016-01-04,2016-02-28,1517.95,Frank Delahunt,232,232
5992,2016-01-22,2016-01-05,2016-02-29,14.9,,233,233
6213,2016-01-19,2016-01-07,2016-02-25,143.9,,234,234
8112,2016-01-21,2016-01-05,2016-03-01,324.59,,235,235
6215,2016-01-19,2016-01-03,2016-03-05,2.58,,236,236
6355,2016-01-21,2016-01-07,2016-02-21,2.51,,237,237
6359,2016-01-21,2016-01-04,2016-03-03,9.08,,238,238
6785,2016-01-22,2016-01-04,2016-02-23,142.33,,239,239
10754,2016-01-23,2016-01-08,2016-02-27,322.23,,240,240
17035,2016-01-25,2016-01-03,2016-02-25,1080.31,,241,241
9206,2016-01-22,2016-01-03,2016-02-18,35.42,,242,242
7153,2016-01-26,2016-01-05,2016-03-03,203.95,,243,243
90027,2016-01-23,2016-01-07,2016-02-21,3.86,,244,244
7154,2016-01-20,2016-01-03,2016-03-02,4.66,,245,245
7240,2016-01-23,2016-01-07,2016-02-24,4.36,,246,246
7245,2016-01-22,2016-01-08,2016-03-04,420.11,,247,247
7255,2016-01-20,2016-01-07,2016-03-01,4.23,,248,248
7239,2016-01-19,2016-01-06,2016-03-05,117.9,,249,249
8004,2016-01-24,2016-01-06,2016-02-22,689.72,,250,250
660,2016-01-24,2016-01-08,2016-03-02,233.98,,251,251
17033,2016-01-18,2016-01-05,2016-02-20,2.91,,252,252
8150,2016-01-24,2016-01-05,2016-02-23,1.87,,253,253
98450,2016-01-26,2016-01-03,2016-02-19,6.17,,254,254
8320,2016-01-20,2016-01-06,2016-02-21,47.38,,255,255
3089,2016-01-23,2016-01-04,2016-03-04,87.07,,256,256
28750,2016-01-18,2016-01-06,2016-02-22,2.84,,257,257
2000,2016-01-21,2016-01-03,2016-03-04,180.74,,258,258
653,2016-01-18,2016-01-07,2016-02-18,106.25,,259,259
8673,2016-01-22,2016-01-03,2016-02-20,93.52,,260,260
12331,2016-01-26,2016-01-05,2016-03-02,1.22,,261,261
8664,2016-01-23,2016-01-05,2016-03-02,154.9,,262,262
8735,2016-01-26,2016-01-08,2016-03-04,2.59,,263,263
90056,2016-01-26,2016-01-04,2016-02-25,6.34,,264,264
8920,2016-01-23,2016-01-06,2016-02-26,6.36,,265,265
28776,2016-01-24,2016-01-06,2016-03-06,5.1,,266,266
173357,2016-01-25,2016-01-07,2016-02-25,3.42,,267,267
90017,2016-01-23,2016-01-04,2016-02-28,1.47,,268,268
90037,2016-01-26,2016-01-05,2016-02-28,0.78,,269,269
9819,2016-01-24,2016-01-05,2016-02-21,163.31,,270,270
8892,2016-01-22,2016-01-08,2016-03-05,195.94,,271,271
9260,2016-01-24,2016-01-07,2016-02-18,0.98,,272,272
9165,2016-01-19,2016-01-06,2016-02-24,947.49,,273,273
9751,2016-01-19,2016-01-03,2016-02-24,1.34,,274,274
90010,2016-01-26,2016-01-06,2016-02-29,5.08,,275,275
1587,2016-01-18,2016-01-03,2016-02-27,61.94,,276,276
90024,2016-01-18,2016-01-08,2016-02-19,22.58,,277,277
1601,2016-01-24,2016-01-05,2016-02-26,4.06,,278,278
90057,2016-01-25,2016-01-06,2016-03-01,0.66,,279,279
9622,2016-01-24,2016-01-04,2016-02-23,2.08,,280,280
9625,2016-01-22,2016-01-04,2016-02-19,20.62,,281,281
3664,2016-01-19,2016-01-06,2016-03-02,190.49,,282,282
9815,2016-01-19,2016-01-08,2016-03-03,411.35,,283,283
90058,2016-01-26,2016-01-05,2016-03-01,4.16,,284,284
4466,2016-01-27,2016-01-14,2016-03-11,3.3,,285,285
388,2016-01-31,2016-01-13,2016-02-28,1.98,,286,286
480,2016-01-29,2016-01-12,2016-03-10,815.13,,287,287
516,2016-02-01,2016-01-10,2016-03-09,162.26,,288,288
2396,2016-01-27,2016-01-10,2016-02-28,2.25,,289,289
1128,2016-02-02,2016-01-13,2016-02-29,755.21,,290,290
1189,2016-01-28,2016-01-12,2016-03-08,3.04,,291,291
1273,2016-02-01,2016-01-12,2016-03-01,15.36,,292,292
11567,2016-02-02,2016-01-15,2016-02-25,159.96,,293,293
90046,2016-01-27,2016-01-13,2016-02-28,1.08,,294,294
1485,2016-01-26,2016-01-12,2016-03-04,65.96,,295,295
4380,2016-01-30,2016-01-10,2016-03-09,32.66,,296,296
1392,2016-01-30,2016-01-11,2016-03-01,758.07,,297,297
90047,2016-01-27,2016-01-11,2016-03-02,20.2,,298,298
2242,2016-01-31,2016-01-12,2016-03-04,100.09,,299,299
1590,2016-01-31,2016-01-15,2016-03-08,87.0,,300,300
3960,2016-01-26,2016-01-13,2016-02-27,2672.84,Frank Delahunt,301,301
2555,2016-01-28,2016-01-15,2016-03-09,45.64,,302,302
2450,2016-02-02,2016-01-13,2016-03-02,0.7,,303,303
2496,2016-01-25,2016-01-11,2016-03-02,8.02,,304,304
17037,2016-01-25,2016-01-11,2016-03-11,2.91,,305,305
3252,2016-01-25,2016-01-12,2016-03-12,847.34,,306,306
2561,2016-01-30,2016-01-15,2016-03-07,100.08,,307,307
1655,2016-01-28,2016-01-12,2016-03-03,4.47,,308,308
17031,2016-01-28,2016-01-14,2016-03-11,23.11,,309,309
90011,2016-01-31,2016-01-14,2016-03-12,1.18,,310,310
9744,2016-01-30,2016-01-12,2016-03-04,134.48,,311,311
90051,2016-01-30,2016-01-11,2016-03-01,1.54,,312,312
90052,2016-01-30,2016-01-12,2016-03-08,0.52,,313,313
3924,2016-01-26,2016-01-14,2016-03-06,182.9,,314,314
3950,2016-01-26,2016-01-12,2016-03-05,0.12,,315,315
90053,2016-01-26,2016-01-14,2016-02-28,1.72,,316,316
17032,2016-01-27,2016-01-11,2016-02-28,8.72,,317,317
12546,2016-01-28,2016-01-12,2016-03-04,1602.01,Frank Delahunt,318,318
4550,2016-02-01,2016-01-14,2016-03-11,5.56,,319,319
4692,2016-02-01,2016-01-13,2016-03-09,81.9,,320,320
90032,2016-01-30,2016-01-11,2016-03-01,4.45,,321,321
4848,2016-01-30,2016-01-12,2016-03-10,7.1,,322,322
4950,2016-01-31,2016-01-10,2016-03-10,24.53,,323,323
8352,2016-01-27,2016-01-12,2016-02-27,137.01,,324,324
9552,2016-01-30,2016-01-13,2016-03-08,772.82,,325,325
10000,2016-01-29,2016-01-10,2016-03-06,71.28,,326,326
5455,2016-02-02,2016-01-13,2016-03-10,12.03,,327,327
4425,2016-01-30,2016-01-14,2016-03-06,5.62,,328,328
4425,2016-01-25,2016-01-11,2016-03-13,1568.84,Frank Delahunt,329,329
5992,2016-01-26,2016-01-13,2016-02-26,17.43,,330,330
6213,2016-02-02,2016-01-12,2016-02-27,155.66,,331,331
5612,2016-01-31,2016-01-14,2016-03-13,0.02,,332,332
8112,2016-01-28,2016-01-10,2016-03-13,316.61,,333,333
6215,2016-01-31,2016-01-15,2016-03-02,4.7,,334,334
6355,2016-01-28,2016-01-14,2016-02-25,6.62,,335,335
6359,2016-02-01,2016-01-15,2016-03-07,10.86,,336,336
6785,2016-01-31,2016-01-14,2016-02-27,147.34,,337,337
10754,2016-02-01,2016-01-10,2016-03-06,457.81,,338,338
17035,2016-01-30,2016-01-15,2016-03-09,1107.22,,339,339
9206,2016-01-31,2016-01-10,2016-02-28,25.7,,340,340
7153,2016-02-01,2016-01-15,2016-02-26,222.98,,341,341
90027,2016-01-31,2016-01-12,2016-02-27,1.35,,342,342
7154,2016-02-02,2016-01-10,2016-03-11,7.16,,343,343
7240,2016-01-30,2016-01-10,2016-03-08,3.84,,344,344
7245,2016-01-28,2016-01-15,2016-03-11,446.05,,345,345
7255,2016-02-02,2016-01-11,2016-02-26,6.3,,346,346
7239,2016-01-30,2016-01-12,2016-03-06,98.52,,347,347
8004,2016-02-01,2016-01-15,2016-03-13,606.93,,348,348
660,2016-01-25,2016-01-13,2016-03-04,215.36,,349,349
17033,2016-01-25,2016-01-13,2016-02-29,0.83,,350,350
8150,2016-01-31,2016-01-10,2016-02-26,2.34,,351,351
98450,2016-01-27,2016-01-11,2016-03-13,9.11,,352,352
8320,2016-01-28,2016-01-15,2016-03-05,48.25,,353,353
3089,2016-01-25,2016-01-12,2016-03-01,118.27,,354,354
2000,2016-01-31,2016-01-12,2016-03-08,265.72,,355,355
653,2016-01-25,2016-01-15,2016-03-01,68.57,,356,356
8673,2016-01-26,2016-01-14,2016-03-11,201.49,,357,357
12331,2016-01-25,2016-01-10,2016-03-01,0.57,,358,358
8664,2016-01-25,2016-01-13,2016-03-04,142.79,,359,359
8735,2016-02-02,2016-01-13,2016-03-05,2.31,,360,360
90056,2016-02-02,2016-01-11,2016-02-25,4.48,,361,361
8920,2016-01-31,2016-01-12,2016-03-01,4.2,,362,362
28776,2016-01-29,2016-01-12,2016-03-04,1.32,,363,363
173357,2016-01-28,2016-01-10,2016-02-26,1.09,,364,364
90017,2016-01-26,2016-01-15,2016-03-10,1.59,,365,365
9819,2016-02-01,2016-01-12,2016-02-27,152.38,,366,366
8892,2016-01-29,2016-01-10,2016-03-03,174.81,,367,367
9260,2016-02-02,2016-01-14,2016-03-02,0.38,,368,368
9165,2016-01-29,2016-01-14,2016-02-26,1046.01,,369,369
9751,2016-01-29,2016-01-12,2016-03-09,0.68,,370,370
90010,2016-02-01,2016-01-10,2016-02-27,4.78,,371,371
1587,2016-02-02,2016-01-11,2016-03-07,57.93,,372,372
90024,2016-01-26,2016-01-11,2016-02-27,29.21,,373,373
1601,2016-01-30,2016-01-10,2016-03-07,3.86,,374,374
9622,2016-01-29,2016-01-14,2016-03-10,4.33,,375,375
9625,2016-01-26,2016-01-10,2016-03-01,16.73,,376,376
3664,2016-02-01,2016-01-11,2016-03-01,321.35,,377,377
9815,2016-01-27,2016-01-12,2016-03-12,425.02,,378,378
90058,2016-01-25,2016-01-15,2016-03-06,2.18,,379,379
1703,2016-02-01,2016-01-20,2016-03-08,5.02,,380,380
4466,2016-02-04,2016-01-19,2016-03-15,3.48,,381,381
388,2016-02-03,2016-01-17,2016-03-08,9.53,,382,382
480,2016-02-02,2016-01-20,2016-03-19,1165.15,,383,383
516,2016-02-06,2016-01-21,2016-03-20,162.77,,384,384
2396,2016-02-07,2016-01-19,2016-03-10,1.93,,385,385
1265,2016-02-01,2016-01-21,2016-03-18,0.26,,386,386
1003,2016-02-06,2016-01-21,2016-03-04,0.17,,387,387
1128,2016-02-06,2016-01-18,2016-03-15,1708.78,Frank Delahunt,388,388
1189,2016-02-02,2016-01-18,2016-03-08,1.99,,389,389
1273,2016-02-01,2016-01-22,2016-03-06,0.79,,390,390
11567,2016-02-02,2016-01-19,2016-03-19,182.7,,391,391
90046,2016-02-06,2016-01-19,2016-03-15,3.49,,392,392
1439,2016-02-01,2016-01-18,2016-03-03,0.27,,393,393
1485,2016-02-02,2016-01-18,2016-03-12,120.85,,394,394
2876,2016-02-07,2016-01-18,2016-03-14,1.25,,395,395
4380,2016-02-06,2016-01-20,2016-03-15,39.6,,396,396
1650,2016-02-07,2016-01-22,2016-03-10,6.27,,397,397
1392,2016-02-03,2016-01-18,2016-03-14,1372.19,Frank Delahunt,398,398
90047,2016-02-02,2016-01-18,2016-03-17,23.39,,399,399
2242,2016-02-02,2016-01-21,2016-03-19,104.63,,400,400
1590,2016-02-06,2016-01-21,2016-03-16,90.73,,401,401
3960,2016-02-03,2016-01-21,2016-03-06,4531.33,Frank Delahunt,402,402
2555,2016-02-05,2016-01-19,2016-03-18,68.65,,403,403
2450,2016-02-03,2016-01-17,2016-03-03,0.9,,404,404
2496,2016-02-08,2016-01-17,2016-03-20,9.39,,405,405
17037,2016-02-09,2016-01-18,2016-03-11,70.54,,406,406
3252,2016-02-07,2016-01-19,2016-03-08,1132.36,,407,407
2561,2016-02-01,2016-01-22,2016-03-17,219.65,,408,408
1655,2016-02-03,2016-01-20,2016-03-05,11.25,,409,409
17031,2016-02-08,2016-01-17,2016-03-14,27.86,,410,410
90011,2016-02-07,2016-01-21,2016-03-16,5.14,,411,411
9744,2016-02-04,2016-01-20,2016-03-06,125.34,,412,412
90051,2016-02-09,2016-01-17,2016-03-09,2.46,,413,413
90052,2016-02-07,2016-01-19,2016-03-13,0.04,,414,414
3924,2016-02-06,2016-01-18,2016-03-12,175.73,,415,415
3950,2016-02-05,2016-01-17,2016-03-17,4.14,,416,416
90053,2016-02-05,2016-01-20,2016-03-20,0.48,,417,417
